name,platform,year,genre,publisher,north_america_sales,europe_sales,japan_sales,global_sales
Retro Atari Classics,DS,2005.0,Misc,Atari,0.12,0.0,0.0,0.13
Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009.0,Adventure,Disney Interactive Studios,0.57,0.35,0.02,1.04
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,PSP,2009.0,Adventure,TGL,0.0,0.0,0.01,0.01
Clash of the Titans,PS3,2010.0,Action,Namco Bandai Games,0.09,0.16,0.01,0.33
Solitaire & Mahjong,Wii,2009.0,Puzzle,Crave Entertainment,0.11,0.0,0.0,0.12
The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,Ubisoft,2.09,0.63,0.03,2.86
Starry ? Sky: In Autumn,PSP,2010.0,Misc,Asgard,0.0,0.0,0.03,0.03
Battlestations: Pacific,X360,2009.0,Strategy,Eidos Interactive,0.17,0.12,0.01,0.33
PDC World Championship Darts 2008,Wii,2008.0,Sports,Oxygen Interactive,0.02,0.21,0.0,0.24
Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009.0,Adventure,Nintendo,0.0,0.0,0.14,0.14
Knockout Kings 2001,PS,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.41
Ketsui Death Label,DS,2008.0,Shooter,Arika,0.0,0.0,0.02,0.02
Mobile Suit Gundam: Lost War Chronicles,PS2,2002.0,Shooter,Namco Bandai Games,0.0,0.0,0.39,0.39
Hot Wheels: Battle Force 5,Wii,2009.0,Racing,Activision,0.17,0.0,0.0,0.19
Brunswick Circuit Pro Bowling,N64,1999.0,Sports,THQ,0.05,0.01,0.0,0.06
SingStar Mallorca Party,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.06
NFL Street 2,PS2,2004.0,Sports,Electronic Arts,0.79,0.62,0.0,1.61
ESPN Extreme Games,PS,1994.0,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.38
Tomb Raider: Underworld (Others sales),PS2,2009.0,Adventure,Eidos Interactive,0.0,0.21,0.0,0.26
Monster Lab,Wii,2008.0,Role-Playing,Eidos Interactive,0.28,0.02,0.0,0.32
Time Crisis: Project Titan,PS,2001.0,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.05
Target: Terror,Wii,2008.0,Shooter,Konami Digital Entertainment,0.06,0.0,0.0,0.07
Justice League Heroes,PSP,2006.0,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.22
Call of Duty: Modern Warfare: Mobilized,DS,2009.0,Shooter,Activision,0.37,0.02,0.0,0.43
Nightshade,PS2,2003.0,Action,Sega,0.06,0.04,0.0,0.12
Archer Maclean Presents: Pool Paradise,PS2,2004.0,Sports,Ignition Entertainment,0.03,0.02,0.0,0.06
F.E.A.R. Files,X360,2007.0,Shooter,Vivendi Games,0.07,0.01,0.0,0.09
BMX XXX,GC,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.06
Enchanted Arms,PS3,2007.0,Role-Playing,Ubisoft,0.17,0.01,0.0,0.2
The Chase: Felix Meets Felicity,DS,2009.0,Action,Atari,0.04,0.0,0.0,0.04
Burnout,PS2,2001.0,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.74
Food Network: Cook or Be Cooked,Wii,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.44
Knockout Kings 2002,XB,2002.0,Sports,Electronic Arts,0.2,0.06,0.0,0.27
Grand Theft Auto: San Andreas,X360,2008.0,Action,Take-Two Interactive,0.08,0.03,0.0,0.12
Ashes Cricket 2009,PS3,2009.0,Sports,Codemasters,0.0,0.16,0.0,0.17
Disney's Story Studio: Disney's Mulan,PS,1999.0,Misc,Sony Computer Entertainment,0.09,0.06,0.0,0.15
Batman: Dark Tomorrow,GC,2003.0,Action,Kemco,0.06,0.02,0.0,0.08
Prince of Persia: The Two Thrones,XB,2005.0,Action,Ubisoft,0.33,0.22,0.0,0.58
Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,1.98
Suggoi! Arcana Heart 2,PS2,2009.0,Fighting,AQ Interactive,0.0,0.0,0.03,0.03
Fire ProWrestling G,PS,1999.0,Fighting,Human Entertainment,0.0,0.0,0.18,0.19
Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,2006.0,Misc,Sega,0.0,0.0,0.02,0.02
Rumble Racing,PS2,2001.0,Racing,Electronic Arts,0.1,0.08,0.0,0.21
How to Train Your Dragon,PS3,2010.0,Action,Activision,0.12,0.04,0.0,0.18
Assassin's Creed II: Discovery,DS,2009.0,Action,Ubisoft,0.15,0.11,0.0,0.28
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,4.2
MotorHead,PS,1998.0,Racing,Gremlin Interactive Ltd,0.02,0.01,0.0,0.03
Red Faction II,GC,2003.0,Shooter,THQ,0.03,0.01,0.0,0.03
World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.41,0.44
Rush Hour,PS,1997.0,Misc,Psygnosis,0.02,0.01,0.0,0.03
Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.45,0.14,0.0,0.65
Shining Force NEO,PS2,2005.0,Role-Playing,Sega,0.06,0.04,0.0,0.11
Petz: Catz 2,DS,2007.0,Simulation,Ubisoft,0.51,0.4,0.0,1.02
NHL FaceOff 98,PS,1997.0,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.51
Jurassic: The Hunted,Wii,2009.0,Shooter,Activision,0.14,0.0,0.0,0.15
Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,2010.0,Role-Playing,Starfish,0.0,0.0,0.02,0.02
Silent Bomber,PS,1999.0,Action,Virgin Interactive,0.01,0.01,0.0,0.02
Ecco: The Tides of Time,GEN,1993.0,Adventure,Sega,0.0,0.0,0.07,0.07
Soul Nomad & the World Eaters,PS2,2007.0,Role-Playing,Tecmo Koei,0.14,0.11,0.0,0.28
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005.0,Action,Konami Digital Entertainment,0.0,0.0,0.03,0.03
Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.61
Super Mario World,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,5.46
Bode Miller Alpine Skiing,PS2,2006.0,Sports,Valcon Games,0.01,0.01,0.0,0.03
Monopoly,PS3,2008.0,Misc,Electronic Arts,0.25,0.06,0.0,0.36
Digimon Rumble Arena,PS,2001.0,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.02
Policenauts,3DO,1995.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.06,0.06
MVP Baseball 2005,GC,2005.0,Sports,Electronic Arts,0.25,0.07,0.0,0.33
The King of Fighters EX2: Howling Blood,GBA,2002.0,Fighting,Marvelous Interactive,0.06,0.02,0.0,0.08
Valkyrie Profile: Lenneth,PSP,2006.0,Role-Playing,Square Enix,0.17,0.01,0.16,0.36
Madden NFL 2003,GC,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.43
CMT Presents: Karaoke Revolution Country,PS2,2006.0,Misc,Konami Digital Entertainment,0.03,0.02,0.0,0.06
Resident Evil,SAT,1997.0,Action,Capcom,0.0,0.0,0.17,0.17
Mawashite Tsunageru Touch Panic,DS,2006.0,Puzzle,Nintendo,0.0,0.0,0.05,0.05
Roadsters,PS,2000.0,Racing,Titus,0.02,0.01,0.0,0.03
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.65,0.65
Star Wars: The Force Unleashed,PS2,2008.0,Action,LucasArts,0.49,0.0,0.01,1.25
Tennis Masters Series 2003,XB,2002.0,Sports,Microids,0.03,0.01,0.0,0.04
Scooby-Doo! and the Spooky Swamp,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.26,0.1,0.0,0.4
Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.06,0.02,0.0,0.08
Rat Attack!,N64,2000.0,Puzzle,Mindscape,0.02,0.0,0.0,0.02
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009.0,Misc,Nintendo,0.0,0.0,0.1,0.1
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,22.0
Resident Evil Director's Cut,PS,1996.0,Action,Virgin Interactive,1.82,1.24,0.47,3.77
DemiKids: Light Version,GBA,2002.0,Role-Playing,Atlus,0.02,0.01,0.0,0.02
Front Mission,DS,2007.0,Strategy,Square Enix,0.01,0.0,0.03,0.04
Shaun White Snowboarding,PSP,2008.0,Sports,Ubisoft,0.26,0.03,0.0,0.32
Rugby League Live,X360,2010.0,Sports,Home Entertainment Suppliers,0.0,0.02,0.0,0.03
Astroblast,2600,1981.0,Action,Mattel Interactive,0.29,0.02,0.0,0.31
The Longest Journey,PC,1999.0,Adventure,Empire Interactive,0.0,0.01,0.0,0.02
Deep Fear,SAT,1998.0,Adventure,Sega,0.0,0.0,0.08,0.08
Super Robot Taisen Complete Box,PS,1999.0,Strategy,Banpresto,0.0,0.0,0.29,0.31
Risen,X360,2009.0,Role-Playing,Deep Silver,0.07,0.11,0.0,0.19
Piglet's Big Game,GBA,2003.0,Platform,THQ,0.04,0.01,0.0,0.05
Quiz! Hexagon II,DS,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.06,0.06
Monster Band,DS,2008.0,Misc,Tivola,0.04,0.0,0.0,0.05
Brave Story: Boku no Kioku to Negai,DS,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.02
Final Fantasy XIV: A Realm Reborn,PC,2010.0,Role-Playing,Square Enix,0.86,0.48,0.0,1.5
Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.02
Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,2009.0,Adventure,Creative Core,0.0,0.0,0.03,0.03
Command & Conquer 3: Kane's Wrath,PC,2008.0,Strategy,Electronic Arts,0.0,0.01,0.0,0.02
Drome Racers,GC,2003.0,Racing,Electronic Arts,0.02,0.01,0.0,0.03
Stuart Little 3: Big Photo Adventure,PS2,2005.0,Platform,Sony Computer Entertainment,0.04,0.03,0.0,0.08
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,Ubisoft,0.35,0.1,0.0,0.53
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,2010.0,Role-Playing,Spike,0.0,0.0,0.05,0.05
Amagami,PS2,2009.0,Adventure,Enterbrain,0.0,0.0,0.13,0.13
NASCAR 2005: Chase for the Cup,XB,2004.0,Racing,Electronic Arts,0.34,0.1,0.0,0.45
Gacharoku,PS2,2002.0,Misc,Sony Computer Entertainment,0.0,0.0,0.03,0.03
Generation of Chaos,PSP,2005.0,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.06
Barbie and the Three Musketeers,Wii,2009.0,Adventure,Activision,0.21,0.0,0.0,0.23
Curious George,PS2,2006.0,Action,Namco Bandai Games,0.06,0.05,0.0,0.12
Etrian Odyssey,DS,2007.0,Role-Playing,Nintendo,0.2,0.03,0.09,0.34
Looney Tunes: Space Race,PS2,2002.0,Racing,Infogrames,0.1,0.08,0.0,0.2
GameBoy Wars,GB,1991.0,Strategy,Nintendo,0.0,0.0,0.18,0.18
Mass Effect 2,PC,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.4
X3: Terran Conflict,PC,2008.0,Simulation,Deep Silver,0.0,0.02,0.0,0.03
MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,1.32
PGA Tour 97,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.0,0.29
Dr. Muto,GC,2002.0,Platform,Midway Games,0.02,0.01,0.0,0.03
Hot Wheels: Stunt Track Challenge / World Race,GBA,2006.0,Racing,"Destination Software, Inc",0.01,0.0,0.0,0.01
Sly 3: Honor Among Thieves,PS2,2005.0,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.83
Berzerk,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.73
Empire Earth,PC,2001.0,Strategy,Vivendi Games,0.0,0.04,0.0,0.05
Prince of Persia,X360,2008.0,Action,Ubisoft,0.54,0.35,0.02,1.01
Phantom Crash,XB,2002.0,Simulation,Phantagram,0.03,0.01,0.01,0.05
Command & Conquer,N64,1999.0,Strategy,Nintendo,0.22,0.05,0.0,0.27
Front Mission Alternative,PS,1997.0,Strategy,SquareSoft,0.0,0.0,0.13,0.14
Super Monkey Ball: Touch & Roll,DS,2005.0,Misc,Sega,0.7,0.01,0.0,0.76
Lost Kingdoms,GC,2002.0,Role-Playing,Activision,0.1,0.02,0.04,0.17
Ape Escape,PS,1999.0,Platform,Sony Computer Entertainment,0.71,0.48,0.32,1.63
Arc the Lad: Twilight of the Spirits,PS2,2003.0,Role-Playing,Sony Computer Entertainment,0.18,0.14,0.0,0.36
Daisy Fuentes Pilates,Wii,2009.0,Sports,505 Games,0.17,0.06,0.0,0.26
CSI: Crime Scene Investigation,XB,2004.0,Adventure,Ubisoft,0.09,0.03,0.0,0.12
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.44,0.44
Wild ARMs 5 (jp sales),PS2,2006.0,Role-Playing,505 Games,0.0,0.0,0.12,0.12
Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004.0,Platform,Electronic Arts,0.15,0.04,0.0,0.2
Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,1.08
UEFA Euro 2008 Austria-Switzerland,PSP,2008.0,Sports,Electronic Arts,0.06,0.13,0.0,0.25
S.C.A.R.S,N64,1998.0,Racing,Ubisoft,0.05,0.01,0.0,0.06
J-League Pro Soccer Club o Tsukurou!,DC,1999.0,Sports,Sega,0.0,0.0,0.36,0.36
Imagine: Detective,DS,2009.0,Simulation,Ubisoft,0.16,0.01,0.0,0.23
Super Robot Taisen OG Saga: Endless Frontier,DS,2008.0,Role-Playing,Namco Bandai Games,0.08,0.0,0.0,0.08
Jeremy McGrath Supercross World,GC,2002.0,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.12
Super Bust-A-Move,PS2,2000.0,Puzzle,Acclaim Entertainment,0.17,0.13,0.0,0.34
World Championship Pool 2004,PS2,2004.0,Sports,Jaleco,0.02,0.02,0.0,0.05
Wing Commander IV: The Price of Freedom,PS,1997.0,Simulation,Origin Systems,0.05,0.03,0.0,0.09
Franklin's Great Adventures,DS,2006.0,Action,Game Factory,0.02,0.0,0.0,0.02
Hands On! Tangrams,DS,2009.0,Puzzle,Storm City Games,0.02,0.0,0.0,0.02
And1 Streetball,PS2,2006.0,Action,Ubisoft,0.13,0.1,0.0,0.27
Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.06
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,18.36
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008.0,Platform,Take-Two Interactive,0.5,0.03,0.0,0.57
Pro Yakyuu Spirits 5 Kanzenban,PS2,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.05
PDC World Championship Darts 2009,Wii,2009.0,Sports,Oxygen Interactive,0.0,0.02,0.0,0.02
NHL 07,PS2,2006.0,Sports,Electronic Arts,0.42,0.02,0.0,0.51
Monster Jam: Urban Assault,Wii,2008.0,Racing,Activision,0.39,0.0,0.0,0.42
Tao Adventure: Curse Demon,DS,2005.0,Role-Playing,Konami Digital Entertainment,0.03,0.0,0.0,0.04
Big Mutha Truckers 2,PS2,2005.0,Racing,Xplosiv,0.1,0.07,0.0,0.2
Animal Planet: Emergency Vets,DS,2009.0,Simulation,Activision,0.08,0.0,0.0,0.08
Dante's Inferno,PSP,2010.0,Action,Electronic Arts,0.12,0.03,0.01,0.19
Famicom Mini: Wrecking Crew,GBA,2004.0,Puzzle,Nintendo,0.0,0.0,0.07,0.07
Klonoa Beach Volleyball,PS,2002.0,Sports,Namco Bandai Games,0.03,0.02,0.0,0.06
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,4.06
Unreal Anthology,PC,2006.0,Shooter,Midway Games,0.0,0.02,0.0,0.02
E0: Enemy Zero,SAT,1996.0,Adventure,Sega,0.0,0.0,0.41,0.41
ESPN MLB Baseball,XB,2004.0,Sports,Sega,0.1,0.03,0.0,0.14
Bakumatsu Koihana: Shinsengumi DS,DS,2008.0,Adventure,D3Publisher,0.0,0.0,0.01,0.01
Guitar Hero 5,PS2,2009.0,Misc,Activision,0.28,0.3,0.0,1.12
The Powerpuff Girls: Relish Rampage,PS2,2002.0,Action,BAM! Entertainment,0.22,0.17,0.0,0.45
Winter Sports 2: The Next Challenge,X360,2008.0,Sports,RTL,0.06,0.01,0.0,0.07
The Incredible Hulk,PS3,2008.0,Action,Sega,0.22,0.03,0.0,0.27
TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.34,0.27,0.0,0.7
Super Soccer,SNES,1991.0,Sports,Nintendo,0.0,0.0,0.38,0.38
RealSports Football,2600,1981.0,Sports,Atari,0.24,0.01,0.0,0.26
Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.41
Otogi: Myth of Demons,XB,2002.0,Action,Sega,0.08,0.02,0.03,0.13
The Sims 3: High-End Loft Stuff,PC,2010.0,Simulation,Electronic Arts,0.01,0.53,0.0,0.67
Dance Paradise,X360,2010.0,Misc,Mindscape,0.1,0.01,0.0,0.12
[Prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,1.31
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000.0,Sports,Sega,0.0,0.0,0.18,0.18
Batman: Arkham Asylum,PC,2009.0,Action,Eidos Interactive,0.0,0.27,0.0,0.32
Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,2.14,0.08,0.0,2.57
X-Men: Mutant Academy 2,PS,2001.0,Fighting,Activision,0.4,0.27,0.0,0.72
Destroy All Humans! Big Willy Unleashed,Wii,2008.0,Action,THQ,0.13,0.0,0.0,0.14
Planet 51,DS,2009.0,Action,Sega,0.22,0.14,0.0,0.4
Star Trek: Voyager Elite Force,PS2,2001.0,Shooter,Codemasters,0.07,0.06,0.0,0.15
MDK,PS,1997.0,Shooter,Interplay,0.11,0.08,0.0,0.2
Terminator 3: Rise of the Machines,PS2,2003.0,Action,Atari,0.28,0.22,0.0,0.58
Maximum Chase,XB,2002.0,Racing,Microsoft Game Studios,0.05,0.02,0.0,0.07
Frogger's Adventures 2: The Lost Wand,GBA,2002.0,Adventure,Konami Digital Entertainment,0.14,0.05,0.0,0.19
The Sims: Vacation,PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,3.07
Major League Baseball 2K10,PS2,2010.0,Sports,Take-Two Interactive,0.11,0.09,0.0,0.23
Knockout Kings,PS,1997.0,Fighting,Electronic Arts,1.07,0.39,0.0,1.52
Star Wars: The Force Unleashed,X360,2008.0,Action,LucasArts,1.74,0.8,0.0,2.8
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,7.84
Star Wars: The Force Unleashed II,Wii,2010.0,Action,LucasArts,0.54,0.19,0.0,0.8
Iron Man 2,DS,2010.0,Action,Sega,0.15,0.16,0.0,0.34
Chicken Shoot,DS,2007.0,Action,Zoo Digital Publishing,0.13,0.0,0.0,0.14
Rozen Maiden: Duellwalzer,PS2,2006.0,Adventure,Taito,0.0,0.0,0.02,0.02
Pirates of the Caribbean: At World's End,PS2,2007.0,Action,Disney Interactive Studios,0.2,0.16,0.0,0.42
Iron Man,PSP,2008.0,Action,Sega,0.46,0.09,0.0,0.63
Phantasy Star Collection,GBA,2002.0,Role-Playing,Atari,0.08,0.03,0.0,0.11
The Simpsons: Road Rage,XB,2001.0,Racing,Electronic Arts,0.78,0.26,0.0,1.05
Scaler,GC,2004.0,Platform,Take-Two Interactive,0.03,0.01,0.0,0.04
Football Manager Handheld 2009,PSP,2008.0,Sports,Sega,0.0,0.47,0.0,0.49
Summon Night X: Tears Crown,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.05
BeyBlade VForce: Super Tournament Battle,GC,2002.0,Action,Atari,0.16,0.04,0.0,0.21
Second Sight,XB,2004.0,Adventure,Codemasters,0.05,0.02,0.0,0.07
Konpeki no Kantai,SNES,1995.0,Strategy,Angel Studios,0.0,0.0,0.03,0.03
Franklin the Turtle,GBA,2005.0,Misc,Game Factory,0.02,0.01,0.0,0.03
Active Health with Carol Vorderman,DS,2009.0,Sports,Nintendo,0.0,0.18,0.0,0.19
Seaman 2: Peking Genjin Ikusei Kit,PS2,2007.0,Simulation,Sega,0.0,0.0,0.06,0.06
BlowOut,XB,2003.0,Shooter,Zoo Digital Publishing,0.04,0.01,0.0,0.05
I'm A Celebrity: Get Me Out of Here!,Wii,2009.0,Misc,Mindscape,0.0,0.16,0.0,0.17
Re-Volt,PS,1998.0,Racing,Acclaim Entertainment,0.11,0.07,0.0,0.19
Super Robot Taisen α Gaiden,PS,2001.0,Strategy,Banpresto,0.0,0.0,0.58,0.62
Rayman Raving Rabbids,Wii,2006.0,Misc,Ubisoft,1.23,0.07,0.02,1.44
FIFA: Road to World Cup 98,PS,1997.0,Sports,Electronic Arts,0.14,0.09,0.46,0.73
Strike Point,PS,1996.0,Simulation,Elite,0.04,0.03,0.0,0.07
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007.0,Fighting,Takara Tomy,0.0,0.0,0.08,0.08
Virtual Chess 64,N64,1998.0,Misc,Titus,0.05,0.01,0.0,0.06
Fat Princess: Fistful of Cake,PSP,2010.0,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.12
Mobile Suit Gundam: MS Sensen 0079,Wii,2007.0,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.11
Jackie Chan: Stuntmaster,PS,1999.0,Action,Sony Computer Entertainment,0.12,0.08,0.0,0.22
Mobile Suit Gundam Seed,PS2,2003.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.22
Radiata Stories,PS2,2005.0,Role-Playing,Square Enix,0.18,0.14,0.29,0.65
Blood Will Tell: Tezuka Osamu's Dororo,PS2,2004.0,Adventure,Sega,0.02,0.02,0.0,0.04
Disney Sing It! High School Musical 3: Senior Year,X360,2009.0,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.1
Metroid Prime,GC,2002.0,Shooter,Nintendo,1.96,0.67,0.1,2.82
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,2005.0,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.42
Madden NFL 07,PS3,2006.0,Sports,Electronic Arts,0.47,0.0,0.01,0.52
Super Nazo Puyo: Ruruu no Ruu,SNES,1995.0,Puzzle,Banpresto,0.0,0.0,0.27,0.27
NASCAR 2001,PS2,2000.0,Racing,Electronic Arts,0.34,0.27,0.0,0.7
Hot Shots Tennis: Get a Grip,PSP,2010.0,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.21
The King of Fighters 2002: Unlimited Match,PS2,2009.0,Fighting,SNK Playmore,0.0,0.0,0.04,0.04
FIFA Street,PS2,2005.0,Sports,Electronic Arts,0.15,0.12,0.0,0.31
Harvey Birdman: Attorney at Law,Wii,2008.0,Adventure,Capcom,0.08,0.0,0.0,0.09
Fear Effect,PS,1998.0,Action,Eidos Interactive,0.4,0.27,0.0,0.72
Test Drive 6,PS,1999.0,Racing,Atari,0.4,0.27,0.0,0.72
Battle Engine Aquila,PS2,2003.0,Shooter,Atari,0.02,0.01,0.0,0.03
Ultimate Card Games DS,DS,2008.0,Strategy,Telegames,0.08,0.0,0.0,0.08
"Warhammer 40,000: Dawn of War: Soulstorm",PC,2008.0,Strategy,THQ,0.0,0.02,0.0,0.02
Harukanaru Toki no Naka de: Maihitoyo,PS2,2006.0,Adventure,Tecmo Koei,0.0,0.0,0.04,0.04
Homeworld,PC,1998.0,Strategy,Vivendi Games,0.0,0.02,0.0,0.02
Jikkyou Powerful Pro Yakyuu 4,N64,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.31
Trade & Battle: Card Hero,GB,2000.0,Strategy,Nintendo,0.0,0.0,0.2,0.2
Motto NUGA-CEL!,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.02,0.02
Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.61
Resident Evil Archives: Resident Evil,Wii,2008.0,Action,Capcom,0.17,0.04,0.08,0.32
The Witcher,PC,2007.0,Role-Playing,Atari,0.0,0.05,0.0,0.06
Satisfashion,Wii,2010.0,Misc,Destineer,0.01,0.0,0.0,0.01
SimAnimals,Wii,2009.0,Simulation,Electronic Arts,0.15,0.14,0.0,0.32
The Land Before Time: Great Valley Racing Adventure,PS,2001.0,Racing,TDK Mediactive,0.05,0.04,0.0,0.1
Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,SquareSoft,0.82,0.37,0.89,2.13
Mario Party 2,N64,1999.0,Misc,Nintendo,1.28,0.14,1.08,2.5
Zero4 Champ RR-Z,SNES,1995.0,Racing,Media Rings,0.0,0.0,0.1,0.1
Kuusen II,PS2,2004.0,Simulation,Kadokawa Shoten,0.0,0.0,0.02,0.02
Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,2.23
Spider-Man 3,PS3,2007.0,Platform,Activision,0.26,0.29,0.02,0.68
NASCAR 08,PS2,2007.0,Racing,Electronic Arts,0.12,0.09,0.0,0.24
Unou no Tatsujin: Soukai! Machigai Museum 2,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.09,0.09
Shrek 2,PS2,2004.0,Platform,Activision,1.12,0.69,0.03,1.86
The Shoot,PS3,2010.0,Shooter,Sony Computer Entertainment,0.13,0.16,0.01,0.35
Medal of Honor: Underground,GBA,2002.0,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,0.08
Pachitte Chonmage Tatsujin 16: Pachinko Hissatsu Shigotojin III,PS2,2010.0,Misc,Hackberry,0.0,0.0,0.01,0.01
Escape From Monkey Island,PS2,2001.0,Adventure,LucasArts,0.05,0.04,0.0,0.1
Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.29,0.04,0.73,2.18
Casual Mania!,DS,2010.0,Puzzle,Foreign Media Games,0.04,0.0,0.0,0.04
Bigfoot: Collision Course,Wii,2008.0,Racing,Zoo Digital Publishing,0.3,0.0,0.0,0.32
Space Channel 5 Special Edition,PS2,2003.0,Misc,Agetec,0.04,0.03,0.0,0.08
TrackMania: Build to Race,Wii,2010.0,Racing,Focus Home Interactive,0.1,0.11,0.0,0.24
Final Fantasy VI Advance,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.28,0.28
Super Fire ProWrestling Special,SNES,1994.0,Fighting,Human Entertainment,0.0,0.0,0.36,0.36
Fallout: Brotherhood of Steel,XB,2004.0,Role-Playing,Avalon Interactive,0.04,0.01,0.0,0.05
Super Collapse! 3,DS,2007.0,Puzzle,Mumbo Jumbo,0.25,0.0,0.0,0.27
Winter Sports 2: The Next Challenge,DS,2008.0,Sports,RTL,0.04,0.02,0.0,0.06
Nicktoons: Movin',PS2,2004.0,Action,THQ,0.16,0.12,0.0,0.32
Teen Titans,PS2,2006.0,Action,THQ,0.12,0.1,0.0,0.25
